sample_index,obs_tenure_days,obs_recency_days,obs_total_invoices,obs_total_line_items,obs_total_quantity,obs_unique_products,obs_unique_purchase_days,obs_total_revenue,obs_average_invoice_value,obs_average_line_revenue,obs_average_unit_price,obs_purchase_frequency_per_month,obs_products_per_invoice,obs_quantity_per_invoice,obs_avg_days_between_purchases,obs_r_score,obs_f_score,obs_m_score,obs_rfm_total_score,country:Australia,country:Austria,country:Bahrain,country:Belgium,country:Brazil,country:Canada,country:Channel Islands,country:Cyprus,country:Czech Republic,country:Denmark,country:EIRE,country:European Community,country:Finland,country:France,country:Germany,country:Greece,country:Iceland,country:Israel,country:Italy,country:Japan,country:Korea,country:Lebanon,country:Malta,country:Netherlands,country:Norway,country:Poland,country:Portugal,country:RSA,country:Saudi Arabia,country:Spain,country:Sweden,country:Switzerland,country:Thailand,country:USA,country:United Arab Emirates,country:United Kingdom,country:Unspecified,country:West Indies
3739,0.0030531278070723617,-0.10506064815209601,-0.09026908213169162,0.034247014422348024,0.00873261512342266,0.0023158333149097435,0.15883805235572343,0.0044455530312288065,-0.017439118065647505,-0.025962373127502252,-0.0030064504924006796,-0.015788905434387622,-0.016155170456390693,-0.0008854058153157942,0.01706371467833874,0.013175977630313074,-0.012357339949034825,0.199174065407995,0.06037749680837752,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
65,-0.011566421469919177,-0.4698344609700651,0.4948083020551985,-0.05429558980902267,-0.01975792322871897,-0.010577815654580512,-0.7511716225989419,-0.011482816841179563,-0.00578176055519539,0.001957653822360685,-0.001243370533607298,-0.0009257779412743922,0.02273531161163486,-0.0008518087086896779,-0.0870802304310151,-0.31622346312751387,-0.2024702622418784,-0.4956191860152434,-0.4614033398072306,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,-0.7151061732856757,0.0,-0.007034555969171449,0.0,0.20025516326560747,-0.0,0.0
333,0.005819838207879363,0.34656407247967524,-0.13206032385932664,0.06745049100911203,0.011435530473217303,0.00934873275281352,0.24156620462432934,0.005429809889254477,-0.025008298902390542,-0.015770835259000596,-0.0024033137251902605,0.009612934091370135,0.018534597520663457,-0.0019915259411602392,-0.20157645636634844,0.17787569800922653,0.17775558234380875,0.4307718158824078,0.3585379748744393,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.3426276129086425,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,0.20025516326560747,-0.0,0.0
4128,0.005819838207879363,0.6476472195675227,-0.13206032385932664,0.06507881411005746,0.012483071828879342,0.00884638279296325,0.24156620462432934,0.00579139680532075,-0.03856278836534234,-0.030795921747546626,0.0019241387075809595,0.009612934091370135,0.012030266024965802,-0.003666212486831268,-0.20157645636634844,0.34257541838814004,0.08269912119738695,0.4307718158824078,0.3585379748744393,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
1926,-0.007384915977790414,-0.345348159770282,0.1604783682341184,-0.11516863021809001,0.0034173126891374984,-0.01995501490511888,-0.2548027089873063,-0.00013919289882302063,-0.017951167957815345,-0.02762996434434221,0.00018286246825555287,-0.024601788535160728,-0.009921852773013776,-0.0022344588659952342,-0.027658138489892726,-0.1515237427486004,-0.2024702622418784,-0.2640214355408306,-0.3123231007741997,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
33,0.005819838207879363,0.14101692398701013,-0.13206032385932664,0.023969747859778213,0.004839899715345205,0.00013898348889190772,0.24156620462432934,-0.0006592945091815484,0.20324858136671622,0.00047847679069108577,0.0023608944027154934,0.009612934091370135,-0.1007114799004602,0.0085527967538055,-0.20157645636634844,0.17787569800922653,0.17775558234380875,-0.2640214355408306,0.13491761632489296,-0.0002502098159029618,0.0,0.0,0.11929441490314789,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,0.20025516326560747,-0.0,0.0
1425,0.005819838207879363,0.9718906087390508,-0.13206032385932664,0.06033546031194832,0.011914037018396259,0.00784168287326271,0.24156620462432934,0.004665416043281664,0.003645858287535916,-0.011126509468072705,0.011318810683956824,0.009612934091370135,-0.0009783969664295027,-0.002756506215108734,-0.20157645636634844,0.34257541838814004,0.17775558234380875,0.199174065407995,0.3585379748744393,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
2004,-0.010937623651553948,-0.38008852289580286,0.0768958847788484,0.03503757338869955,0.007904928126356356,0.004157783167694065,-0.17207455671870034,0.0024554659022577247,-0.02455686952642393,-0.011519685289548718,0.0010631122992232045,-0.04326047404506373,0.025400280766122094,-0.0028081940714566054,0.06327629628551125,-0.1515237427486004,-0.10741380109545662,-0.03242368506641778,-0.16324286174116884,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
4295,-0.01166074114267396,-0.4756245214909853,0.4948083020551985,-0.05034279497726505,-0.00047540271893995514,-0.0058892160293113295,-0.8338997748675477,-0.004876329013598182,-0.021259984058873485,-0.011968994468151013,0.002126581780557286,-0.0012996752835186063,0.026529504984125155,-0.002778473554056579,-0.09512315630350686,-0.31622346312751387,-0.2024702622418784,-0.4956191860152434,-0.4614033398072306,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
4613,0.005819838207879363,-0.22375688883095896,-0.13206032385932664,0.07377496273992423,0.012651195750158434,0.010688332645747574,0.24156620462432934,0.005659272553946262,-0.03360996321188008,0.02704743323832009,0.03252540003495276,0.009612934091370135,0.035879481509190535,-0.003934989339840199,-0.20157645636634844,-0.1515237427486004,0.08269912119738695,0.4307718158824078,0.13491761632489296,-0.0002502098159029618,0.0,0.0,-0.0012049940899307868,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.005774096306484411,0.015577521719042343,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0013370511967977792,0.0,0.0,0.01245301642199914,0.0,0.00722329467965329,0.0,-0.007034555969171449,0.0,-0.027307522263491927,-0.0,0.0
